                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61095,                 0.4049,                 1.1603,                0.99706,                      1,                  0.995,                0.94405,                0.36195,                0.25789,                 1.0347,              0.0013268,              0.0013268,              0.0013268
                     37,                0.60507,                0.38832,                 1.1625,                0.99525,                      1,                  0.995,                0.92898,                0.42093,                0.29438,                 1.0789,               0.001307,               0.001307,               0.001307
                     38,                0.59154,                 0.3933,                 1.1483,                0.96794,                      1,                  0.995,                 0.8958,                0.50598,                 0.3289,                 1.2715,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.5967,                0.38925,                 1.1281,                0.99618,                      1,                  0.995,                0.91872,                0.42912,                0.31073,                 1.1443,              0.0012674,              0.0012674,              0.0012674
                     40,                0.58786,                0.38486,                 1.1479,                0.99353,                      1,                  0.995,                0.91436,                0.41878,                0.39957,                 1.0787,              0.0012476,              0.0012476,              0.0012476
                     41,                0.60969,                0.39567,                 1.1562,                0.99314,                      1,                  0.995,                0.94019,                0.38193,                0.27374,                 1.0577,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.6079,                 0.3765,                 1.1416,                0.99709,                      1,                  0.995,                 0.9072,                0.45214,                0.29204,                 1.1077,               0.001208,               0.001208,               0.001208
                     43,                0.59292,                0.39094,                 1.1516,                0.99711,                      1,                  0.995,                0.90885,                0.45249,                0.29521,                 1.0979,              0.0011882,              0.0011882,              0.0011882
                     44,                0.57105,                0.37799,                 1.1194,                0.99609,                      1,                  0.995,                0.92655,                0.39701,                0.27281,                 1.0372,              0.0011684,              0.0011684,              0.0011684
                     45,                0.54938,                0.36256,                 1.1282,                0.99537,                      1,                  0.995,                0.90857,                0.46671,                0.26723,                 1.1316,              0.0011486,              0.0011486,              0.0011486
                     46,                0.58619,                0.37301,                 1.1387,                0.99567,                      1,                  0.995,                0.90541,                0.44466,                0.26471,                 1.0888,              0.0011288,              0.0011288,              0.0011288
                     47,                0.54753,                0.36239,                 1.1156,                0.99713,                      1,                  0.995,                0.92744,                0.40363,                0.25884,                 1.0816,               0.001109,               0.001109,               0.001109
                     48,                0.54666,                0.34952,                 1.0972,                0.99737,                      1,                  0.995,                0.92355,                0.41879,                0.30142,                 1.1018,              0.0010892,              0.0010892,              0.0010892
                     49,                0.54901,                0.36383,                 1.1188,                0.99705,                      1,                  0.995,                 0.9113,                0.41201,                0.23708,                 1.0849,              0.0010694,              0.0010694,              0.0010694
                     50,                0.55613,                0.35371,                 1.1072,                 0.9942,                      1,                  0.995,                0.91933,                0.39436,                0.25132,                 1.0376,              0.0010496,              0.0010496,              0.0010496
                     51,                0.53545,                0.33671,                 1.1087,                0.99461,                      1,                  0.995,                 0.9159,                0.42259,                0.26118,                 1.0794,              0.0010298,              0.0010298,              0.0010298
                     52,                0.55134,                0.35183,                 1.1167,                0.99671,                      1,                  0.995,                0.92657,                0.37543,                0.21826,                 1.0298,                0.00101,                0.00101,                0.00101
                     53,                0.55141,                0.34741,                 1.1063,                0.99657,                      1,                  0.995,                0.95595,                0.33114,                0.19795,                0.97262,              0.0009902,              0.0009902,              0.0009902
                     54,                0.53608,                 0.3358,                 1.1061,                0.99513,                      1,                  0.995,                0.91187,                 0.3997,                0.22239,                 1.0372,              0.0009704,              0.0009704,              0.0009704
                     55,                0.58671,                 0.3762,                 1.1186,                0.99726,                      1,                  0.995,                0.90043,                0.45478,                0.29907,                 1.0828,              0.0009506,              0.0009506,              0.0009506
                     56,                0.55229,                0.35152,                 1.1038,                0.99571,                      1,                  0.995,                0.92795,                0.39341,                0.24763,                 1.0545,              0.0009308,              0.0009308,              0.0009308
                     57,                0.52267,                0.33731,                 1.0958,                0.99633,                      1,                  0.995,                0.93017,                0.40646,                 0.2244,                 1.0597,               0.000911,               0.000911,               0.000911
                     58,                0.53855,                0.33624,                    1.1,                0.97167,                      1,                  0.995,                0.91317,                0.41568,                0.35563,                 1.0788,              0.0008912,              0.0008912,              0.0008912
                     59,                0.56055,                0.34933,                 1.1138,                0.99715,                      1,                  0.995,                0.92773,                0.37447,                0.20961,                 1.0534,              0.0008714,              0.0008714,              0.0008714
                     60,                0.51059,                0.32764,                 1.0795,                0.99753,                      1,                  0.995,                0.93444,                0.36617,                 0.2168,                 1.0217,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.5286,                0.32041,                 1.0915,                0.99753,                      1,                  0.995,                0.91416,                0.38583,                0.22207,                 1.0588,              0.0008318,              0.0008318,              0.0008318
                     62,                0.52606,                0.31709,                 1.0939,                0.99756,                      1,                  0.995,                0.93173,                0.36316,                0.21122,                  1.034,               0.000812,               0.000812,               0.000812
                     63,                0.49908,                0.30766,                 1.0893,                0.99735,                      1,                  0.995,                0.92052,                0.41025,                0.22952,                 1.0837,              0.0007922,              0.0007922,              0.0007922
                     64,                0.53083,                0.33907,                 1.0916,                0.99616,                      1,                  0.995,                0.94135,                0.35866,                0.19206,                 1.0213,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.4923,                0.30552,                 1.0673,                0.99747,                      1,                  0.995,                  0.943,                0.34401,                0.19653,                0.99829,              0.0007526,              0.0007526,              0.0007526
                     66,                0.52039,                0.31435,                 1.0912,                0.99754,                      1,                  0.995,                0.93519,                0.36593,                0.20146,                 1.0149,              0.0007328,              0.0007328,              0.0007328
                     67,                0.49148,                0.30523,                 1.0608,                0.99753,                      1,                  0.995,                0.92386,                0.40142,                0.22709,                 1.0579,               0.000713,               0.000713,               0.000713
                     68,                0.50066,                0.31242,                 1.0779,                0.99695,                      1,                  0.995,                0.94084,                0.38078,                0.20751,                 1.0445,              0.0006932,              0.0006932,              0.0006932
                     69,                0.49787,                0.30852,                 1.0709,                0.99731,                      1,                  0.995,                0.94934,                0.35461,                0.21564,                 1.0148,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.5149,                 0.3197,                 1.0736,                 0.9963,                      1,                  0.995,                0.93275,                0.37172,                0.23989,                 1.0361,              0.0006536,              0.0006536,              0.0006536
                     71,                0.50414,                0.32302,                 1.0677,                 0.9973,                      1,                  0.995,                0.93662,                0.35875,                0.19392,                 1.0113,              0.0006338,              0.0006338,              0.0006338
                     72,                0.49865,                 0.3145,                 1.0787,                0.99741,                      1,                  0.995,                0.93421,                0.35211,                0.20372,                 1.0033,               0.000614,               0.000614,               0.000614
                     73,                0.52637,                0.31578,                 1.0888,                0.99602,                      1,                  0.995,                 0.9327,                0.35215,                0.20141,                 1.0024,              0.0005942,              0.0005942,              0.0005942
                     74,                0.48318,                 0.2986,                 1.0505,                 0.9936,                      1,                  0.995,                0.94337,                0.34285,                0.21409,                 1.0097,              0.0005744,              0.0005744,              0.0005744
                     75,                0.51514,                0.30985,                 1.0797,                0.99352,                      1,                  0.995,                0.95002,                0.31287,                0.20124,                0.96666,              0.0005546,              0.0005546,              0.0005546
                     76,                0.51375,                 0.3085,                 1.0787,                0.99199,                      1,                  0.995,                0.93932,                0.33124,                0.20409,                0.99675,              0.0005348,              0.0005348,              0.0005348
                     77,                0.48194,                0.29614,                  1.055,                0.99091,                      1,                  0.995,                0.94466,                0.32568,                0.21393,                0.98268,               0.000515,               0.000515,               0.000515
                     78,                0.48502,                0.29539,                 1.0626,                0.98914,                      1,                  0.995,                0.94286,                0.33713,                0.19501,                0.98717,              0.0004952,              0.0004952,              0.0004952
                     79,                0.47053,                0.30046,                 1.0409,                0.98871,                      1,                  0.995,                0.96096,                0.35096,                0.20847,                0.99551,              0.0004754,              0.0004754,              0.0004754
                     80,                0.48714,                0.30527,                 1.0762,                0.99034,                      1,                  0.995,                0.93868,                0.34472,                0.19809,                 1.0011,              0.0004556,              0.0004556,              0.0004556
                     81,                0.47434,                0.29007,                 1.0538,                0.98933,                      1,                  0.995,                0.93042,                0.35999,                0.20788,                 1.0105,              0.0004358,              0.0004358,              0.0004358
                     82,                0.46959,                0.28636,                 1.0488,                0.99521,                      1,                  0.995,                0.93586,                0.36692,                0.20452,                 1.0279,               0.000416,               0.000416,               0.000416
                     83,                0.46849,                0.27989,                 1.0515,                0.99328,                      1,                  0.995,                0.92595,                0.39752,                0.20758,                 1.0403,              0.0003962,              0.0003962,              0.0003962
                     84,                0.48724,                0.29147,                 1.0695,                 0.9889,                      1,                  0.995,                0.93774,                0.34368,                0.19596,                 0.9939,              0.0003764,              0.0003764,              0.0003764
                     85,                0.46502,                 0.2752,                 1.0446,                0.98802,                      1,                  0.995,                0.94012,                0.33978,                0.19691,                0.99337,              0.0003566,              0.0003566,              0.0003566
                     86,                0.44745,                 0.2727,                  1.035,                0.99227,                      1,                  0.995,                0.95031,                0.33018,                0.18352,                0.98024,              0.0003368,              0.0003368,              0.0003368
                     87,                0.46027,                0.28148,                 1.0522,                0.99654,                      1,                  0.995,                0.94091,                0.36531,                0.20028,                 1.0259,               0.000317,               0.000317,               0.000317
                     88,                0.47645,                  0.292,                   1.05,                0.99658,                      1,                  0.995,                0.93383,                0.37196,                0.20255,                 1.0411,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.4504,                0.27993,                 1.0526,                0.99567,                      1,                  0.995,                0.93656,                0.34756,                0.18412,                 1.0063,              0.0002774,              0.0002774,              0.0002774
                     90,                0.44721,                 0.2705,                 1.0437,                0.99635,                      1,                  0.995,                 0.9433,                0.34214,                 0.1777,                0.99353,              0.0002576,              0.0002576,              0.0002576
