                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87224,                 2.7577,                 1.4419,                      1,                0.66667,                  0.995,                0.85906,                 0.5881,                 3.5153,                 1.3947,                0.00036,                0.00036,                0.00036
                      2,                0.74067,                0.89954,                 1.2893,                0.94512,                0.80952,                0.88883,                0.40262,                 1.6065,                 1.8678,                  3.054,             0.00072535,             0.00072535,             0.00072535
                      3,                0.80744,                0.77959,                 1.3481,                0.04213,                0.83991,                0.05279,                0.01411,                 2.5631,                 74.432,                 3.7142,              0.0010756,              0.0010756,              0.0010756
                      4,                 0.8149,                0.70318,                 1.3427,                0.03472,                0.66667,                0.03084,                 0.0104,                 2.3133,                  14.56,                 3.4336,              0.0014109,              0.0014109,              0.0014109
                      5,                0.82082,                0.65721,                 1.3432,                0.08289,                 0.2381,                 0.0511,                0.01405,                 2.0742,                 6.4627,                  3.706,              0.0017311,              0.0017311,              0.0017311
                      6,                0.87903,                 0.7028,                 1.3615,                0.16525,                 0.7619,                 0.1528,                0.06483,                  1.752,                 10.972,                 2.7642,               0.001802,               0.001802,               0.001802
                      7,                0.80436,                0.65234,                 1.3171,                 0.6861,                0.66667,                0.72437,                0.55544,                0.87489,                 1.4319,                 1.7236,               0.001802,               0.001802,               0.001802
                      8,                0.80389,                0.64529,                 1.3174,                0.94918,                0.88995,                0.94498,                0.73447,                0.79074,                 1.9777,                  1.888,              0.0017624,              0.0017624,              0.0017624
                      9,                0.75601,                0.59277,                 1.2902,                0.74559,                 0.7619,                0.82193,                0.67805,                0.75572,                 1.8147,                 1.6488,              0.0017228,              0.0017228,              0.0017228
                     10,                0.72479,                0.56484,                  1.267,                0.94302,                      1,                0.99318,                0.85976,                0.56329,                 0.6517,                 1.2884,              0.0016832,              0.0016832,              0.0016832
                     11,                 0.7334,                0.55121,                 1.2533,                 0.9863,                      1,                  0.995,                0.87835,                0.53871,                0.60488,                 1.3148,              0.0016436,              0.0016436,              0.0016436
                     12,                0.74122,                0.53431,                 1.2626,                0.98476,                      1,                  0.995,                0.83348,                 0.6543,                0.75765,                 1.3749,               0.001604,               0.001604,               0.001604
                     13,                0.71729,                0.49413,                 1.2537,                0.98791,                      1,                  0.995,                0.88311,                 0.4893,                0.62694,                 1.2251,              0.0015644,              0.0015644,              0.0015644
                     14,                0.74513,                0.54179,                 1.2499,                0.95912,                      1,                  0.995,                0.86992,                0.54715,                0.53896,                 1.3163,              0.0015248,              0.0015248,              0.0015248
                     15,                0.70059,                0.48094,                  1.241,                0.98914,                      1,                  0.995,                 0.8772,                 0.5375,                0.53241,                  1.233,              0.0014852,              0.0014852,              0.0014852
                     16,                0.69408,                0.50018,                 1.2298,                0.99685,                      1,                  0.995,                0.90714,                0.42802,                0.33817,                  1.098,              0.0014456,              0.0014456,              0.0014456
                     17,                0.68926,                0.49624,                 1.2084,                0.99695,                      1,                  0.995,                0.89517,                 0.4428,                0.34693,                 1.1087,               0.001406,               0.001406,               0.001406
                     18,                0.67761,                0.46765,                 1.2025,                0.99569,                      1,                  0.995,                0.89729,                0.51651,                0.35436,                 1.2042,              0.0013664,              0.0013664,              0.0013664
                     19,                0.69237,                0.46986,                 1.2181,                0.99689,                      1,                  0.995,                0.85968,                 0.5406,                0.39594,                 1.2749,              0.0013268,              0.0013268,              0.0013268
                     20,                0.67699,                0.45088,                 1.1972,                0.98954,                      1,                  0.995,                0.92149,                0.42915,                0.35692,                 1.1101,              0.0012872,              0.0012872,              0.0012872
                     21,                0.63954,                0.43768,                 1.1931,                0.99627,                      1,                  0.995,                0.90392,                 0.5023,                0.37895,                 1.1937,              0.0012476,              0.0012476,              0.0012476
                     22,                0.63494,                0.41413,                 1.1739,                0.99735,                      1,                  0.995,                0.88702,                0.45936,                0.33665,                 1.1146,               0.001208,               0.001208,               0.001208
                     23,                0.67615,                0.44635,                 1.1908,                0.98211,                      1,                  0.995,                0.90507,                0.46294,                0.33482,                 1.1416,              0.0011684,              0.0011684,              0.0011684
                     24,                0.63083,                0.41728,                 1.1767,                0.99649,                      1,                  0.995,                 0.9147,                0.44823,                 0.2894,                 1.1297,              0.0011288,              0.0011288,              0.0011288
                     25,                0.63917,                0.41256,                 1.1825,                0.99488,                      1,                  0.995,                0.90433,                0.47759,                0.34009,                 1.1784,              0.0010892,              0.0010892,              0.0010892
                     26,                0.61354,                0.41674,                 1.1669,                0.99638,                      1,                  0.995,                0.90563,                0.45506,                0.29192,                 1.1442,              0.0010496,              0.0010496,              0.0010496
                     27,                0.64035,                0.42697,                 1.1807,                0.99529,                      1,                  0.995,                0.90922,                0.40235,                0.30931,                 1.0868,                0.00101,                0.00101,                0.00101
                     28,                0.57631,                0.38203,                 1.1235,                0.98342,                      1,                  0.995,                0.91516,                0.40178,                0.33329,                 1.1156,              0.0009704,              0.0009704,              0.0009704
                     29,                0.59779,                0.38481,                 1.1485,                0.99696,                      1,                  0.995,                0.92078,                0.41229,                0.24622,                 1.0988,              0.0009308,              0.0009308,              0.0009308
                     30,                0.55932,                0.36676,                 1.1272,                0.99733,                      1,                  0.995,                0.91545,                 0.4331,                0.26103,                 1.1062,              0.0008912,              0.0008912,              0.0008912
                     31,                0.57654,                 0.3834,                  1.122,                0.99703,                      1,                  0.995,                0.90533,                0.43195,                0.25703,                 1.0888,              0.0008516,              0.0008516,              0.0008516
                     32,                0.57478,                 0.3679,                  1.125,                0.99692,                      1,                  0.995,                0.91885,                  0.401,                0.25558,                 1.0612,               0.000812,               0.000812,               0.000812
                     33,                0.57346,                0.37157,                 1.1215,                0.99523,                      1,                  0.995,                0.91609,                0.43738,                0.28041,                 1.1059,              0.0007724,              0.0007724,              0.0007724
                     34,                0.56267,                0.36002,                 1.1349,                0.99498,                      1,                  0.995,                0.91589,                 0.4727,                0.31477,                 1.1628,              0.0007328,              0.0007328,              0.0007328
                     35,                0.57097,                 0.3691,                 1.1393,                0.99722,                      1,                  0.995,                0.90794,                0.39615,                0.24605,                 1.0573,              0.0006932,              0.0006932,              0.0006932
                     36,                0.56574,                0.36134,                 1.1282,                0.99734,                      1,                  0.995,                0.91849,                0.39893,                0.23384,                 1.0512,              0.0006536,              0.0006536,              0.0006536
                     37,                0.56507,                0.35761,                 1.1253,                0.99744,                      1,                  0.995,                0.93395,                0.38346,                0.23569,                 1.0465,               0.000614,               0.000614,               0.000614
