                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.54636,                0.35031,                 1.1106,                 0.9975,                      1,                  0.995,                0.92813,                0.35375,                0.22653,                 1.0227,              0.0005744,              0.0005744,              0.0005744
                     39,                0.50892,                0.32966,                 1.0745,                0.99755,                      1,                  0.995,                 0.9319,                 0.3565,                0.21584,                 1.0404,              0.0005348,              0.0005348,              0.0005348
                     40,                0.52903,                0.33205,                 1.1004,                0.99741,                      1,                  0.995,                0.92396,                0.38499,                0.22982,                 1.0552,              0.0004952,              0.0004952,              0.0004952
                     41,                0.37413,                0.35353,                 1.0866,                0.98734,                      1,                  0.995,                0.92638,                0.39237,                0.25857,                 1.0707,              0.0004556,              0.0004556,              0.0004556
                     42,                0.36344,                0.29034,                 1.0827,                0.98276,                      1,                  0.995,                0.92324,                0.39392,                0.27734,                 1.0623,               0.000416,               0.000416,               0.000416
                     43,                0.33811,                0.28518,                 1.0239,                 0.9856,                      1,                  0.995,                0.92779,                0.34976,                0.23498,                 1.0298,              0.0003764,              0.0003764,              0.0003764
                     44,                0.33197,                0.27808,                 1.0184,                 0.9943,                      1,                  0.995,                0.93442,                0.36568,                 0.2269,                  1.057,              0.0003368,              0.0003368,              0.0003368
                     45,                0.33363,                0.27992,                 1.0548,                 0.9958,                      1,                  0.995,                0.92272,                0.39215,                0.23394,                 1.0758,              0.0002972,              0.0002972,              0.0002972
                     46,                0.32404,                0.25777,                 1.0162,                0.99647,                      1,                  0.995,                0.91796,                 0.3813,                0.22903,                 1.0668,              0.0002576,              0.0002576,              0.0002576
                     47,                0.31578,                0.26295,                 1.0086,                0.99756,                      1,                  0.995,                0.92119,                0.37301,                0.21623,                 1.0606,               0.000218,               0.000218,               0.000218
                     48,                0.31826,                0.25474,                0.99549,                0.99749,                      1,                  0.995,                0.92478,                0.36342,                 0.1918,                 1.0525,              0.0001784,              0.0001784,              0.0001784
                     49,                0.29607,                   0.23,                0.97312,                0.99751,                      1,                  0.995,                0.92529,                0.34997,                 0.1901,                 1.0352,              0.0001388,              0.0001388,              0.0001388
                     50,                0.29706,                0.23302,                0.99448,                0.99753,                      1,                  0.995,                0.92169,                0.35014,                0.18342,                 1.0375,               9.92e-05,               9.92e-05,               9.92e-05
